"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"The White Stripes","Mohammad","M","18","Rodriguez","231.81016","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Seven Nation Army (Album Version)","88"
"Sophie B. Hawkins","Mohammad","M","19","Rodriguez","323.39546","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Damn I Wish I Was Your Lover","88"
"Nik & Jay","Mohammad","M","20","Rodriguez","267.49342","paid","Sacramento--Roseville--Arden-Arcade, CA","888","En Dag Tilbage","88"
"Bobby McFerrin","Mohammad","M","21","Rodriguez","291.60444","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Don't Worry Be Happy","88"
"Amon Amarth","Mohammad","M","22","Rodriguez","407.84934","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Arson","88"
"Smif-n-Wessun","Mohammad","M","23","Rodriguez","325.72036","paid","Sacramento--Roseville--Arden-Arcade, CA","888","P.N.C. (LP Version)","88"
"Static-X","Jacqueline","F","1","Lynch","266.47465","paid","Atlanta-Sandy Springs-Roswell, GA","709","The Trance Is The Motion [Live]","29"
"Mystikal","Mohammad","M","24","Rodriguez","254.98077","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Shake Ya Ass","88"
"CKY","Jacqueline","F","2","Lynch","208.24771","paid","Atlanta-Sandy Springs-Roswell, GA","709","All Power To Slaves","29"
"This is a Process of a Still Life","Mohammad","M","25","Rodriguez","396.12036","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Constantly Under Surveillance","88"
"Vaselines","Jacqueline","F","3","Lynch","189.98812","paid","Atlanta-Sandy Springs-Roswell, GA","709","Sex Sux (Amen) (Album)","29"
"Thyrfing","Jacqueline","F","4","Lynch","178.6771","paid","Atlanta-Sandy Springs-Roswell, GA","709","Vargavinter","29"
"Bersuit Vergarabat","Ryan","M","1","Smith","259.63057","free","San Jose-Sunnyvale-Santa Clara, CA","896","La Flor De Mis Heridas","26"
"Jason Mraz","Mohammad","M","26","Rodriguez","226.53342","paid","Sacramento--Roseville--Arden-Arcade, CA","888","After An Afternoon (Eagles Ballroom Live Version)","88"
"TV On The Radio","Jacqueline","F","5","Lynch","275.87873","paid","Atlanta-Sandy Springs-Roswell, GA","709","Province","29"
"Mad Flava","Mohammad","M","27","Rodriguez","35.81342","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Wax on Tha Belt (Baby G Gets Biz)","88"
"Black Sheep","Ryan","M","2","Smith","203.15383","free","San Jose-Sunnyvale-Santa Clara, CA","896","The Choice Is Yours","26"
"The Cars","Mohammad","M","28","Rodriguez","234.65751","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Tonight She Comes (LP Version)","88"
"The Presets","Jacqueline","F","6","Lynch","271.85587","paid","Atlanta-Sandy Springs-Roswell, GA","709","Yippiyo-Ay","29"
"Obk","Ryan","M","3","Smith","377.15546","free","San Jose-Sunnyvale-Santa Clara, CA","896","Lucifer (The Final Combination Mix)","26"
"Cat Stevens","Mohammad","M","29","Rodriguez","275.87873","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Sun / C79","88"
"Bon Iver","Mohammad","M","30","Rodriguez","186.122","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Creature Fear","88"
"Lady GaGa","Mohammad","M","31","Rodriguez","249.20771","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Monster","88"
"Vince Gill","Mohammad","M","32","Rodriguez","255.81669","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Feels Like Love","88"
"Snow Patrol","Mohammad","M","33","Rodriguez","195.21261","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Hands Open","88"
"The Randy Rogers Band","Mohammad","M","35","Rodriguez","254.58893","paid","Sacramento--Roseville--Arden-Arcade, CA","888","One More Goodbye","88"
"Joan Baez","Mohammad","M","36","Rodriguez","193.17506","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Don't Cry For Me Argentina","88"
"Natalie","Mohammad","M","37","Rodriguez","227.36934","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Turnin' Me On","88"
"Dwight Yoakam","Mohammad","M","38","Rodriguez","239.3073","paid","Sacramento--Roseville--Arden-Arcade, CA","888","You're The One","88"
"Blackalicious","Mohammad","M","39","Rodriguez","276.92363","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Deception","88"
"The Knux","Mohammad","M","40","Rodriguez","200.25424","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Bang! Bang!","88"
"Creedence Clearwater Revival","Mohammad","M","41","Rodriguez","315.42812","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Born On The Bayou","88"
"Leon Russell","Mohammad","M","42","Rodriguez","185.73016","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Act Naturally (Album Version)","88"
"Iration","Mohammad","M","43","Rodriguez","208.24771","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Changed My Mind","88"
"Natiruts","Mohammad","M","44","Rodriguez","210.88608","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Jamaica Roots II(Agora E Sempre)","88"
"The New Pornographers","Mohammad","M","45","Rodriguez","169.24689","paid","Sacramento--Roseville--Arden-Arcade, CA","888","From Blown Speakers","88"
"The Avett Brothers","Mohammad","M","46","Rodriguez","287.97342","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Head Full Of Doubt/Road Full Of Promise","88"
"Dina Carroll","Mohammad","M","47","Rodriguez","203.20608","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Someone Like You","88"
"Rush Of Fools","Mohammad","M","48","Rodriguez","219.66322","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Holy One","88"
"Morten Abel","Mohammad","M","49","Rodriguez","217.44281","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Lydia","88"
"Tomcraft","Mohammad","M","50","Rodriguez","471.45751","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Loneliness","88"
"BjÃÂ¶rk","Mohammad","M","51","Rodriguez","348.57751","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Undo","88"
"JosÃÂ© Gonzalez","Mohammad","M","52","Rodriguez","158.48444","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Heartbeats","88"
"Ween","Tegan","F","3","Levine","276.13995","paid","Portland-South Portland, ME","893","The Stallion","80"
"Eminem","Mohammad","M","53","Rodriguez","284.86485","paid","Sacramento--Roseville--Arden-Arcade, CA","888","The Real Slim Shady","88"
"Robbie Dupree","Tegan","F","4","Levine","273.68444","paid","Portland-South Portland, ME","893","If We Try Again","80"
"Natalie MacMaster","Mohammad","M","56","Rodriguez","186.80118","paid","Sacramento--Roseville--Arden-Arcade, CA","888","The E Flat Reel/The Recluse/James D Law/","88"
"Jeremih","Tegan","F","5","Levine","220.55138","paid","Portland-South Portland, ME","893","My Ride","80"
"The Dodos","Mohammad","M","57","Rodriguez","374.69995","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Paint The Rust","88"
"Kat DeLuna","Tegan","F","6","Levine","239.43791","paid","Portland-South Portland, ME","893","Como Un SueÃÂ±o (Am I Dreaming)","80"
"The Format","Mohammad","M","58","Rodriguez","199.83628","paid","Sacramento--Roseville--Arden-Arcade, CA","888","Tie The Rope (Album Version)","88"
"Molotov Solution","Tegan","F","7","Levine","221.962","paid","Portland-South Portland, ME","893","Awakening","80"
"Smash Mouth","Mohammad","M","59","Rodriguez","216.39791","paid","Sacramento--Roseville--Arden-Arcade, CA","888","All Star","88"
"And Then There Were None","Tegan","F","8","Levine","259.26485","paid","Portland-South Portland, ME","893","Insozzz ...","80"
"Lostprophets","Anabelle","F","0","Simpson","244.03546","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","890","Broken Hearts_ Torn Up Letters And The Story Of A Lonely Girl","69"
"Philippe Rochard","Tegan","F","9","Levine","360.51546","paid","Portland-South Portland, ME","893","Crumpshit","80"
"Superlitio","Anabelle","F","1","Simpson","247.92771","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","890","Favorite Song","69"
"The All-American Rejects","Tegan","F","10","Levine","260.77995","paid","Portland-South Portland, ME","893","Your Star","80"
"Alliance Ethnik","Anabelle","F","2","Simpson","252.21179","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","890","ReprÃÂ©sente","69"
"Turing Machine","Tegan","F","11","Levine","522.762","paid","Portland-South Portland, ME","893","Robotronic","80"
"Mighty Terror & His Calypsonians","Tegan","F","12","Levine","137.84771","paid","Portland-South Portland, ME","893","Calypso War","80"
"Butterfingers","Tegan","F","13","Levine","341.75955","paid","Portland-South Portland, ME","893","Words Vs Wisdom","80"
"NB Ridaz","Tegan","F","14","Levine","234.21342","paid","Portland-South Portland, ME","893","Tu Eres","80"
"Shaggy / Ricardo Ducent","Jordan","F","0","Rodriguez","226.76853","free","Los Angeles-Long Beach-Anaheim, CA","843","It Wasn't Me","68"
"Michael BublÃÂ©","Tegan","F","15","Levine","244.21832","paid","Portland-South Portland, ME","893","You'll Never Find Another Love Like Mine (Album Version)","80"
"Silver Mt. Zion","Tegan","F","16","Levine","308.53179","paid","Portland-South Portland, ME","893","Sit in the Middle of Three Galloping Dogs","80"
"Copeland","Tegan","F","17","Levine","199.07873","paid","Portland-South Portland, ME","893","Chin Up","80"
"Red Hot Chili Peppers","Tegan","F","18","Levine","321.82812","paid","Portland-South Portland, ME","893","Californication (Album Version)","80"
"P.O.D.","Tegan","F","19","Levine","224.67873","paid","Portland-South Portland, ME","893","The Reasons (Album Version)","80"
"Richard Vission & Static Avanger Starring Luciana","Tegan","F","20","Levine","375.43138","paid","Portland-South Portland, ME","893","I Like That","80"
"After 7","Tegan","F","21","Levine","241.94567","paid","Portland-South Portland, ME","893","Nights Like This","80"
"Ratatat","Ryann","F","0","Smith","184.0322","free","Palestine, TX","825","Nostrand","92"
"Sade","Aiden","M","0","Hess","332.12036","free","La Crosse-Onalaska, WI-MN","892","Cherish The Day","86"
"Elton John","Aiden","M","1","Hess","417.01832","free","La Crosse-Onalaska, WI-MN","892","Song For Guy","86"
"Lewis Black","Aiden","M","2","Hess","111.80363","free","La Crosse-Onalaska, WI-MN","892","Gamblers","86"
"Acoustic Alchemy","Tegan","F","0","Levine","169.1424","paid","Portland-South Portland, ME","903","Coffee With Manni","80"
"Stryper","Tegan","F","1","Levine","295.70567","paid","Portland-South Portland, ME","903","Lady","80"
"BjÃÂ¶rk","Tegan","F","2","Levine","348.57751","paid","Portland-South Portland, ME","903","Undo","80"
"Plain White T S","Tegan","F","3","Levine","180.11383","paid","Portland-South Portland, ME","903","Please Don't Do This (Album)","80"
"Blink-182","Tegan","F","4","Levine","173.76608","paid","Portland-South Portland, ME","903","Feeling This","80"
"Eminem","Morris","M","0","Gilmore","248.58077","free","Raleigh, NC","841","Just Lose It","23"
"Original Love","Tegan","F","6","Levine","337.76281","paid","Portland-South Portland, ME","903","Kokoro - Angel Heart (album mix)","80"
"BarlowGirl","Tegan","F","7","Levine","258.40281","paid","Portland-South Portland, ME","903","Beautiful Ending (Album)","80"
"Me First And The Gimme Gimmes","Tegan","F","8","Levine","105.1424","paid","Portland-South Portland, ME","903","Phantom Of The Opera","80"
"George Michael","Ava","F","0","Robinson","302.602","free","London, KY","422","Careless Whisper","13"
"Easy Star All-Stars","Tegan","F","9","Levine","272.50893","paid","Portland-South Portland, ME","903","Lucy in the Sky With Diamonds (feat. Frankie Paul)","80"
"Linda Ronstadt","Tegan","F","10","Levine","181.7073","paid","Portland-South Portland, ME","903","Birds","80"
"Florence + The Machine","Tegan","F","11","Levine","258.55955","paid","Portland-South Portland, ME","903","Cosmic Love","80"
"Deftones","Tegan","F","12","Levine","241.52771","paid","Portland-South Portland, ME","903","Sextape (Album Version)","80"
"Los Concorde","Sara","F","1","Johnson","223.7122","paid","Winston-Salem, NC","564","No Usemos Ropa Hoy","95"
"Early Man","Tegan","F","13","Levine","201.32526","paid","Portland-South Portland, ME","903","Fight","80"
"Frumpies","Tegan","F","14","Levine","134.47791","paid","Portland-South Portland, ME","903","Fuck Kitty","80"
"Robben Ford","Sara","F","2","Johnson","250.53995","paid","Winston-Salem, NC","564","Talk To Your Daughter (Album Version)","95"
"Loreena McKennitt","Colm","M","0","Santana","52.00934","free","Nashville-Davidson--Murfreesboro--Franklin, TN","807","To The Fairies They Draw Near","67"
"LeÃÂ³n Gieco","Tegan","F","15","Levine","361.27302","paid","Portland-South Portland, ME","903","Los Salieris De Charly","80"
"J. Karjalainen & Mustat Lasit","Colm","M","1","Santana","336.74404","free","Nashville-Davidson--Murfreesboro--Franklin, TN","807","Sinisten tÃÂ¤htien alla","67"
"Yeah Yeah Yeahs","Sara","F","3","Johnson","125.20444","paid","Winston-Salem, NC","564","Yeah! New York","95"
"3 Doors Down","Sara","F","4","Johnson","237.13914","paid","Winston-Salem, NC","564","Here Without You","95"
"The Clash","Tegan","F","16","Levine","221.6224","paid","Portland-South Portland, ME","903","Rock The Casbah","80"
"Freddie Bruno","Colm","M","2","Santana","230.21669","free","Nashville-Davidson--Murfreesboro--Franklin, TN","807","Updated & Still Hated (The Ball Point Composer Album Version)","67"
"Elliott Smith","Sara","F","5","Johnson","146.15465","paid","Winston-Salem, NC","564","Everything Means Nothing To Me","95"
"Panic At The Disco","Tegan","F","17","Levine","259.29098","paid","Portland-South Portland, ME","903","Behind The Sea [Live In Chicago]","80"
"Coldplay","Colm","M","3","Santana","294.1122","free","Nashville-Davidson--Murfreesboro--Franklin, TN","807","Fix You","67"
"Colt Ford","Sara","F","6","Johnson","222.04036","paid","Winston-Salem, NC","564","Dirt Road Anthem (feat. Brantley Gilbert)","95"
"City And Colour","Tegan","F","18","Levine","208.43057","paid","Portland-South Portland, ME","903","What Makes A Man","80"
"Cocorosie","Sara","F","7","Johnson","280.24118","paid","Winston-Salem, NC","564","R.I.P. Burn Face","95"
"Foolish Things","Jacob","M","0","Klein","266.86649","paid","Tampa-St. Petersburg-Clearwater, FL","692","Who Can Compare","73"
"Katrina & The Waves","Colm","M","4","Santana","220.9171","free","Nashville-Davidson--Murfreesboro--Franklin, TN","807","Walking On Sunshine","67"
"Tricky","Tegan","F","19","Levine","204.14649","paid","Portland-South Portland, ME","903","Something in the Way (Album version)","80"
"Moose","Sara","F","8","Johnson","215.17016","paid","Winston-Salem, NC","564","Uptown Invisible","95"
"Melissa Horn","Jacob","M","1","Klein","211.33016","paid","Tampa-St. Petersburg-Clearwater, FL","692","SÃÂ¤g ingenting till mig","73"
"Fergie","Tegan","F","20","Levine","396.12036","paid","Portland-South Portland, ME","903","Wake Up","80"
"Terrorvision","Sara","F","9","Johnson","160.54812","paid","Winston-Salem, NC","564","Glad All Over","95"
"David Phelps","Jacob","M","3","Klein","291.47383","paid","Tampa-St. Petersburg-Clearwater, FL","692","What A Meeting In The Air (Atlanta Homecoming Album Version)","73"
"The Kills","Sara","F","10","Johnson","287.65995","paid","Winston-Salem, NC","564","No Wow","95"
"Lionel Richie","Tegan","F","21","Levine","301.68771","paid","Portland-South Portland, ME","903","Don't Wanna Lose You","80"
"The Rolling Stones","Jacob","M","4","Klein","271.49016","paid","Tampa-St. Petersburg-Clearwater, FL","692","Angie (1993 Digital Remaster)","73"
"Radiohead","Sara","F","11","Johnson","246.96118","paid","Winston-Salem, NC","564","Pulk/Pull Revolving Doors","95"
"Rufio","Jacob","M","5","Klein","36.33587","paid","Tampa-St. Petersburg-Clearwater, FL","692","Raining in September","73"
"Bajaga & Instruktori","Tegan","F","22","Levine","254.95465","paid","Portland-South Portland, ME","903","Godine prolaze","80"
"Drowning Pool","Jacob","M","6","Klein","229.35465","paid","Tampa-St. Petersburg-Clearwater, FL","692","Reason I'm Alive (Explicit)","73"
"The Postal Service","Sara","F","12","Johnson","266.47465","paid","Winston-Salem, NC","564","Such Great Heights","95"
"Kid Rock","Jacob","M","7","Klein","296.95955","paid","Tampa-St. Petersburg-Clearwater, FL","692","All Summer Long (Album Version)","73"
"Tears For Fears","Tegan","F","23","Levine","290.89914","paid","Portland-South Portland, ME","903","Shout","80"
"Christopher O'Riley","Sara","F","13","Johnson","337.91955","paid","Winston-Salem, NC","564","paranoid android","95"
"Panic At The Disco","Jacob","M","8","Klein","114.31138","paid","Tampa-St. Petersburg-Clearwater, FL","692","Folkin' Around [Live In Chicago]","73"
"Deadmau5 & Kaskade","Tegan","F","24","Levine","595.56526","paid","Portland-South Portland, ME","903","I Remember","80"
"Eagles","Jacob","M","9","Klein","234.31791","paid","Tampa-St. Petersburg-Clearwater, FL","692","What Do I Do With My Heart","73"
"Coldplay","Sara","F","14","Johnson","311.27465","paid","Winston-Salem, NC","564","The Scientist","95"
"J. Karjalainen & Mustat Lasit","Jacob","M","10","Klein","336.74404","paid","Tampa-St. Petersburg-Clearwater, FL","692","Sinisten tÃÂ¤htien alla","73"
"Amaral","Sara","F","15","Johnson","220.81261","paid","Winston-Salem, NC","564","Concorde","95"
"Flight Of The Conchords","Jacob","M","11","Klein","137.482","paid","Tampa-St. Petersburg-Clearwater, FL","692","Boom (Album Version)","73"
"The Buggles","Sara","F","16","Johnson","198.08608","paid","Winston-Salem, NC","564","Video Killed The Radio Star","95"
"59 Times the Pain","Jacob","M","12","Klein","144.95302","paid","Tampa-St. Petersburg-Clearwater, FL","692","Found Home","73"
"Rise Against","Sara","F","17","Johnson","201.01179","paid","Winston-Salem, NC","564","Roadside","95"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Jacob","M","13","Klein","277.15873","paid","Tampa-St. Petersburg-Clearwater, FL","692","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","73"
"Five Iron Frenzy","Sara","F","18","Johnson","236.09424","paid","Winston-Salem, NC","564","Canada","95"
"Wu-Tang Clan","Jacob","M","14","Klein","181.60281","paid","Tampa-St. Petersburg-Clearwater, FL","692","Cash Still Rules/Scary Hours (still don't nothing move but the money)","73"
"The Killers","Sara","F","19","Johnson","265.84771","paid","Winston-Salem, NC","564","Uncle Jonny","95"
"The Strokes","Jacob","M","15","Klein","219.81995","paid","Tampa-St. Petersburg-Clearwater, FL","692","Reptilia","73"
"Lily Allen","Sara","F","20","Johnson","181.26322","paid","Winston-Salem, NC","564","Littlest Things","95"
"Danger Doom","Jacob","M","16","Klein","160.36526","paid","Tampa-St. Petersburg-Clearwater, FL","692","Old School Rules (Album Version)","73"
"RinÃÂ´ÃÂ§ÃÂ©rÃÂ´se / Mark Gardener","Sara","F","21","Johnson","215.09179","paid","Winston-Salem, NC","564","Where You From?","95"
"Sonicflood","Jacob","M","17","Klein","213.99465","paid","Tampa-St. Petersburg-Clearwater, FL","692","I Could Sing Of Your Love Forever","73"
"Kings Of Leon","Sara","F","22","Johnson","231.26159","paid","Winston-Salem, NC","564","Use Somebody","95"
"Huey Lewis And The News","Jacob","M","18","Klein","269.63546","paid","Tampa-St. Petersburg-Clearwater, FL","692","Stuck With You","73"
"Edward Sharpe & The Magnetic Zeros","Sara","F","28","Johnson","306.31138","paid","Winston-Salem, NC","564","Home","95"
"Stefano Prada feat. Mike Marfurt","Jacob","M","19","Klein","302.13179","paid","Tampa-St. Petersburg-Clearwater, FL","692","Jack Explode","73"
"Modest Mouse","Sara","F","29","Johnson","209.52771","paid","Winston-Salem, NC","564","Float On","95"
"Wilco","Jacob","M","20","Klein","239.98649","paid","Tampa-St. Petersburg-Clearwater, FL","692","Jesus_ Etc.","73"
"Sting","Sara","F","30","Johnson","299.96363","paid","Winston-Salem, NC","564","This Cowboy Song","95"
"Anis","Jacob","M","21","Klein","246.59546","paid","Tampa-St. Petersburg-Clearwater, FL","692","Swing Javanaise","73"
"OneRepublic","Sara","F","31","Johnson","224.67873","paid","Winston-Salem, NC","564","Secrets","95"
"Beastie Boys","Jacob","M","22","Klein","209.81506","paid","Tampa-St. Petersburg-Clearwater, FL","692","Intergalactic","73"
"Kiss the Anus of a Black Cat","Sara","F","32","Johnson","151.97995","paid","Winston-Salem, NC","564","Prelude (""The World is In Fear Again and It Has All Been Manufactured"")","95"
"Paulina Rubio","Jacob","M","23","Klein","213.55057","paid","Tampa-St. Petersburg-Clearwater, FL","692","Nada De Ti","73"
"Arcade Fire","Sara","F","33","Johnson","136.69832","paid","Winston-Salem, NC","564","Neon Bible","95"
"A Fine Frenzy","Jacob","M","24","Klein","245.52444","paid","Tampa-St. Petersburg-Clearwater, FL","692","Think Of You","73"
"Kid Cudi","Sara","F","34","Johnson","227.34322","paid","Winston-Salem, NC","564","Up Up & Away","95"
"Katy Perry","Jacob","M","25","Klein","179.40853","paid","Tampa-St. Petersburg-Clearwater, FL","692","I Kissed A Girl","73"
"Michael BublÃÂ©","Sara","F","35","Johnson","253.88363","paid","Winston-Salem, NC","564","Moondance (Album Version)","95"
"Culture Beat","Jacob","M","26","Klein","257.43628","paid","Tampa-St. Petersburg-Clearwater, FL","692","Mr Vain","73"
"Vampire Weekend","Sara","F","36","Johnson","221.64853","paid","Winston-Salem, NC","564","Walcott (Album)","95"
"Metro Area","Jacob","M","27","Klein","339.27791","paid","Tampa-St. Petersburg-Clearwater, FL","692","Orange Alert (DFA Remix)","73"
"Florence + The Machine","Sara","F","37","Johnson","219.66322","paid","Winston-Salem, NC","564","Dog Days Are Over (Radio Edit)","95"
"Karnivool","Sara","F","38","Johnson","289.30567","paid","Winston-Salem, NC","564","Roquefort (with Empire Horns)","95"
"Ryan Adams","Jacob","M","28","Klein","250.06975","paid","Tampa-St. Petersburg-Clearwater, FL","692","Sylvia Plath","73"
"Paramore","Sara","F","39","Johnson","215.09179","paid","Winston-Salem, NC","564","When It Rains (Album Version)","95"
"Ray J","Jacob","M","29","Klein","234.26567","paid","Tampa-St. Petersburg-Clearwater, FL","692","Let's Play House","73"
"Hoobastank","Sara","F","40","Johnson","199.67955","paid","Winston-Salem, NC","564","Never Saw It Coming","95"
"Cosmo Vitelli","Jacob","M","30","Klein","206.05342","paid","Tampa-St. Petersburg-Clearwater, FL","692","Robot Soul (Radio Edit)","73"
"The Clash","Sara","F","41","Johnson","164.04853","paid","Winston-Salem, NC","564","Hateful","95"
"We Came As Romans","Jacob","M","31","Klein","238.13179","paid","Tampa-St. Petersburg-Clearwater, FL","692"," I Will Not Reap Destruction","73"
"Faith No More","Sara","F","42","Johnson","249.86077","paid","Winston-Salem, NC","564","Last Cup Of Sorrow","95"
"Lesley Gore","Jacob","M","32","Klein","134.37342","paid","Tampa-St. Petersburg-Clearwater, FL","692","It's My Party","73"
"Plain White T's","Sara","F","43","Johnson","232.202","paid","Winston-Salem, NC","564","Hey There Delilah","95"
"Culture Club","Jacob","M","33","Klein","264.69832","paid","Tampa-St. Petersburg-Clearwater, FL","692","Do You Really Want To Hurt Me (2002 Digital Remaster)","73"
"Richard Clayderman","Jacob","M","34","Klein","303.80363","paid","Tampa-St. Petersburg-Clearwater, FL","692","Rhapsody In Blue","73"
"California Swag District","Jacob","M","35","Klein","239.17669","paid","Tampa-St. Petersburg-Clearwater, FL","692","Teach Me How To Dougie","73"
"Red Nex","Jacob","M","36","Klein","194.01098","paid","Tampa-St. Petersburg-Clearwater, FL","692","Cotton Eye Joe (Explicit)","73"
"Paulina Rubio","Jacob","M","37","Klein","174.31465","paid","Tampa-St. Petersburg-Clearwater, FL","692","Un Dia Gris","73"
"Britney Spears","Jacob","M","38","Klein","213.28934","paid","Tampa-St. Petersburg-Clearwater, FL","692","3","73"
"Randy Crawford","Jacob","M","39","Klein","270.75873","paid","Tampa-St. Petersburg-Clearwater, FL","692","Almaz","73"
"Red Elvises","Jacob","M","40","Klein","207.04608","paid","Tampa-St. Petersburg-Clearwater, FL","692","Love Pipe","73"
"U2","Jacob","M","41","Klein","206.88934","paid","Tampa-St. Petersburg-Clearwater, FL","692","Fast Cars","73"
"The Stray Cats","Jacob","M","42","Klein","355.39546","paid","Tampa-St. Petersburg-Clearwater, FL","692","Stray Cat Strut","73"
"Govi","Jacob","M","43","Klein","302.47138","paid","Tampa-St. Petersburg-Clearwater, FL","692","Hanalei Bay","73"
"Frightened Rabbit","Chloe","F","3","Cuevas","159.76444","paid","San Francisco-Oakland-Hayward, CA","849","Learned Your Name","49"
"Bruce Springsteen","Jacob","M","44","Klein","311.66649","paid","Tampa-St. Petersburg-Clearwater, FL","692","Tunnel Of Love","73"
"Jack Johnson","Chloe","F","4","Cuevas","212.87138","paid","San Francisco-Oakland-Hayward, CA","849","Never Know","49"
"Molotov","Sylvie","F","0","Cruz","248.65914","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","877","Marciano (I Turned Into A Martian)","10"
"Genesis","Jacob","M","45","Klein","256.54812","paid","Tampa-St. Petersburg-Clearwater, FL","692","Jesus He Knows Me (2007 Digital Remaster)","73"
"The All-American Rejects","Chloe","F","5","Cuevas","239.22893","paid","San Francisco-Oakland-Hayward, CA","849","Move Along","49"
"John Mayer","Sylvie","F","1","Cruz","201.56036","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","877","Love Song For No One","10"
"Orishas","Jacob","M","46","Klein","265.53424","paid","Tampa-St. Petersburg-Clearwater, FL","692","Mistica","73"
"Bobby Valentino","Chloe","F","6","Cuevas","228.46649","paid","San Francisco-Oakland-Hayward, CA","849","How 'Bout It","49"
"Animal Collective","Chloe","F","7","Cuevas","410.90567","paid","San Francisco-Oakland-Hayward, CA","849","Fireworks","49"
